,Unnamed: 0,Unnamed: 0.1,link,datetime,title,text,authors,summary,keywords,images,has_top_image,top_image,successfully_scraped,is_valid_url,meta_lang,meta_data,media_links,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,newspaper,date,datetime_form
2057,1070,1599,https://www.thenews.com.pk/print/713268-lady-police-constable-shot-dead-in-presence-of-13-cops,,Lady police constable shot dead in presence of 13 cops,"NOWSHERA: A lady constable of the police commando force was killed and her sister injured when their rivals allegedly opened fire on them in the presence of 13 cops in Akbarpura town of Nowshera district on Thursday, officials said.

Giving the details of the incident, District Police Officer Najmul Hasnain said a man, Saqib, a resident of Aleesha area in Akbarpura town of the Nowshera district, was murdered on April 11, this year.

Three persons -Tehsinullah, Abdullah and Fazal Taj, sons of Faridullah, stated to be brothers of woman constable Safia Naz were accused of the murder and nominated in the case. The DPO said all the three accused were declared absconders and police in Akbarpura had later sealed their house as per the law. The lady constable Safia Naz and her sister Neelam, the wife of Liaqat, had moved the Peshawar High Court against the action. The court had allowed both the women to collect the belongings from the house.

It was learnt that lady constable Safia Naz and her sister Neelam reached the family's sealed house on Thursday in Mohallah Malkaan along with a truck to collect the belongings. The two women were accompanied by Station House Officer of Akbarpura Police Station, Abdul Baseer Khan, ASIs Safiullah Khan, Lateef Khan and 10 other cops. It was learned that the women members of the late Saqib, who had been killed allegedly by the brothers of the lady constable, reportedly attacked Safia Naz and her sister Neelam and thrashed them. Later the male family members of the attackers joined the fight and allegedly opened fire that left lady constable Safia Naz dead and her sister Neelam seriously injured. The woman cop was killed and her sister injured by the rivals as 13 police officials stood around unmoved. The assailants fled the scene after committing the crime as the police officials stood nearby. The injured woman, Neelam, was shifted to the Lady Reading Hospital in Peshawar in a serious condition.

Registering the first information report with the police, Neelam, nominated Arshad, Nazeer Muhammad, sons of Fazal Muhammad, Naseem, son of Naseer, Asad, son of Bashir, Munsaf, son of Nazeer, for the firing and killing her sister and leaving her injured. The DPO said the SHO, two ASIs and other 10 other cops acted cowardly during the crime. He said all the 13 cops had been suspended and a case registered against them under the Police Act. DSP Tayyab Jan, however, said a case was registered against the cops, excluding the SHO. He said 11 cops had been put in quarter guards.",['Mushtaq Paracha'],"Three persons -Tehsinullah, Abdullah and Fazal Taj, sons of Faridullah, stated to be brothers of woman constable Safia Naz were accused of the murder and nominated in the case.
The lady constable Safia Naz and her sister Neelam, the wife of Liaqat, had moved the Peshawar High Court against the action.
It was learnt that lady constable Safia Naz and her sister Neelam reached the family's sealed house on Thursday in Mohallah Malkaan along with a truck to collect the belongings.
Later the male family members of the attackers joined the fight and allegedly opened fire that left lady constable Safia Naz dead and her sister Neelam seriously injured.
The woman cop was killed and her sister injured by the rivals as 13 police officials stood around unmoved.","['injured', 'naz', 'presence', 'constable', 'akbarpura', '13', 'shot', 'neelam', 'cops', 'lady', 'women', 'sister', 'dead', 'safia']","{'https://www.thenews.com.pk/assets/front/images/TNS-logo.png?v=1', 'https://www.thenews.com.pk/assets/front/images/700X390_thenews.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756938_110007_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756950_013152_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756942_121550_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756952_014708_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/pause-news.png', 'https://www.thenews.com.pk/assets/front/images/Thenews-logo.svg', 'https://www.thenews.com.pk//assets/front/images/facebook.svg', 'https://www.thenews.com.pk/assets/front/img/no-img-fb.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756935_084724_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756943_124422_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756941_010811_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756937_095203_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756936_091737_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/whatsapp_dark.png', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756939_124339_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/sms.png', 'https://www.thenews.com.pk/assets/front/images/close_black.png', 'https://www.thenews.com.pk//assets/front/images/twitter.svg', 'https://www.thenews.com.pk/assets/front/images/drop-down.svg', 'https://www.thenews.com.pk/assets/front/images/mosque-icon.svg', 'https://www.thenews.com.pk//assets/front/images/play-news.png', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756940_114928_updates.jpg'}",TRUE,https://www.thenews.com.pk/assets/front/img/no-img-fb.jpg,1,TRUE,en,"defaultdict(<class 'dict'>, {'viewport': 'width=device-width, initial-scale=1', 'TITLE': 'Lady police constable shot dead in presence of 13 cops | Top Story | thenews.com.pk', 'description': 'NOWSHERA: A lady constable of the police commando force was killed and her sister injured when their rivals allegedly opened fire on them in the presence of 13 cops in Akbarpura town of Nowshera...', 'keywords': 'lady,police,constable,shot,dead,presence,cops', 'fb': {'app_id': 650123461797330}, 'og': {'title': 'Lady police constable shot dead in presence of 13 cops', 'image': {'identifier': 'https://www.thenews.com.pk/assets/front/img/no-img-fb.jpg', 'secure_url': 'https://www.thenews.com.pk/assets/front/img/no-img-fb.jpg', 'type': 'image/jpeg', 'width': 390}, 'description': 'NOWSHERA: A lady constable of the police commando force was killed and her sister injured when their rivals allegedly opened fire on them in the presence of 13 cops in Akbarpura town of Nowshera...', 'url': 'https://www.thenews.com.pk/print/713268-lady-police-constable-shot-dead-in-presence-of-13-cops', 'type': 'article'}, 'twitter': {'card': 'summary_large_image', 'site': '@thenews_intl', 'creator': '@MPMushtaq Paracha', 'title': 'Lady police constable shot dead in presence of 13 cops', 'description': 'NOWSHERA: A lady constable of the police commando force was killed and her sister injured when their rivals allegedly opened fire on them in the presence of 13 cops in Akbarpura town of Nowshera...', 'image': 'https://www.thenews.com.pk/assets/front/img/no-img-fb.jpg?t=020107'}, 'robots': 'max-image-preview:large', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black-translucent', 'apple-mobile-web-app-title': 'The News International', 'msapplication-TileImage': 'https://www.thenews.com.pk/assets/front/img/tn-icons/144x144.png', 'msapplication-TileColor': '#333333', 'theme-color': '#000000'})",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,news,"September 11, 2020",2020-09-11
1862,875,1298,https://www.thenews.com.pk/print/713693-motorway-rape-case-geo-fencing-of-villages-near-crime-spot-completed,,Motorway rape case: Geo-fencing of villages near crime spot completed,"LAHORE/ISLAMABAD: Lahore Police have completed the geo-fencing of three places and searched villages lying within a five-kilometre radius of the crime scene.

Lahore Police have yet to ascertain as to who reached the incident site initially as there are many stories doing rounds about it. The Dolphin Force cops claimed that they were the first to approach the woman.

Police have also recovered some of the valuables of the victim. The victim woman’s gold ring were found in the fields where she was reportedly taken by two unidentified men along with her children at gunpoint and was raped. The attackers had taken Rs100,000 cash and other valuables of the victim with them while fleeing.

The commander of Punjab Police finally woke up for the security of Lahore-Sialkot Motorway on Friday. Despite passage of three days, the police failed to arrest the robbers, who had raped and looted the woman on the Motorway. A special investigation team (SIT) visited the crime scene on Friday and restructured the heinous act. However, the investigators could not find any tangible clue to the culprits.

The criminal profiling of 15 suspects had been completed. Traditional and modern techniques of investigation were being used to find out the culprits. A member of the investigation team told The News that DNA [deoxyribo-nucleic acid] samples of suspects are being sent to the Forensic Science Agency. The reports will take some time for matching with the victim.

Meanwhile, Inspector General of Police (IGP) Punjab Inam Ghani said that teams of Punjab Highway Patrol (PHP) and Special Protection Unit (SPU) had been deployed for security duties on the Lahore-Sialkot Motorway. He said the PHP and SPU teams would patrol 24 hours a day in three shifts, which would ensure safety of lives and property of citizens and help curb criminal acts. The IGP termed the news fake regarding the arrest of the main culprit. A private news channel had flashed the news late on Friday night that the main suspect had been arrested. The news also went viral on the social media. However, the IGP Punjab and Shahbaz Gill said there was no such development. They said once the suspect would be arrested, he would be brought before the public.

The IGP directed Additional IGP PHP Captain (retd) Zafar Iqbal Awan to conduct field visits to inspect and monitor the security arrangements of the Lahore-Sialkot Motorway to improve security arrangements under a comprehensive strategy. He expressed these views while instructing officers and talking to the media during his visit to crime scene and launching patrolling of the PHP and SPU teams for security on the Lahore-Sialkot Motorway on Friday.

Additional IGP PHP Captain (retd) Zafar Iqbal Awan, Additional IG Internal Accountability Branch (IAB) Azhar Hameed Khokhar, DIG Special Protection Unit Bilal Siddique Kamiana and other officers were present in the meeting.

A video link conference was also held at Central Police Office to improve security arrangements on Lahore-Sialkot Motorway. Federal Secretary Communications Zafar Hassan, IG Motorway Dr Syed Kaleem Imam, IG Punjab Inam Ghani and other senior police and highway police officers participated.

Secretary Communications Zafar Hassan told the meeting all possible resources would be provided for safety and convenience of citizens on the newly constructed motorway. The IGP Punjab said that on deputation from Punjab Police for security of Lahore-Sialkot Motorway, 100 personnel would be deployed to the Motorway Police while joint teams of SPU and PHP would be on patrol and security duties in three shifts and these measures were aimed at protecting the passengers travelling by the motorway.

During the conference, IG Motorway Dr Kaleem Imam said the Lahore Police personnel on deputation would be trained by Motorway Police teams. He said that Motorway Police vehicles would also assist in performing their duties on Lahore-Sialkot Motorway and initially Motorway Police vehicles would be on duty to prevent traffic irregularities.

Furthermore, a delegation of women parliamentarians and civil society members called on IGP Punjab Inam Ghani at the Central Police Office. The delegation consisted of Shaista Pervez Malik, Hina Pervez Butt, Ayesha Raza Farooq, Kiran Daar, Kanwal Liaquat, Sania Ashiq and former MNA Saira Afzal Tarar. They apprised the IG Punjab of their concerns over the Gujjarpura incident and said that measures should be taken for protection of women and children in society. The IGP told the delegation about the progress made in the incident and said that police teams had been mobilised day and night to arrest the sexual predators involved in the rape case. “I am personally monitoring the progress from time to time.”

The authorities have short-listed over 70 people with criminal record and their location at the time of the incident was also being monitored. Detectives have also been hired for the inspection of footprints collected from the crime scene.

In a statement, IGP Inam Ghani told that traditional and advance techniques are being used to investigate the case. Suspicious points have been mark around five kilometres from the incident site, he said.

Meanwhile, Punjab Chief Minister Usman Buzdar and Law and Parliamentary Affairs Minister Raja Basharat declared the Motorway rape case a test case for the Police Department and ordered for arrest of the culprits at the earliest.

The CM Friday contacted the law minister, who is heading the investigation committee probing the Motorway rape case, and got the latest information about the ongoing investigation.

The CM ordered for taking forward the investigation in a scientific manner, adding that investigation should be completed in the stipulated time period and all aspects should be examined.

Meanwhile, the provincial government constituted a five-member committee to investigate the case. A notification was issued regarding the constitution of the committee. It is headed by Punjab Law Minister Raja Basharat, while additional chief secretary Home Department, additional IG Special Branch, DIG Investigation Punjab and the DG Forensic Science Agency would be other members.

The committee would complete the investigation within three days and submit recommendations to Chief Minister Usman Buzdar.

Meanwhile, the Senate Standing Committee on Information and Broadcasting vehemently condemned the rape of a woman on the motorway, called for string punishments for such heinous crimes and directed the media to be mindful of her and her family privacy.

The committee met here under the chairmanship of Senator Faisal Javed at the Parliament House. The forum strongly condemned the rape incident. Senator Faisal Javed said that such incidents could not be curbed unless the punishments were tightened.

“It is unfortunate that the Zainab Alert Bill, which has been passed for several months, could not be implemented,” he noted. The committee directed the TV channels and newspapers to take care of privacy of the rape victim and her family. The chairman of the committee said that the name of the woman or her family should not be published in the media under any circumstances.

Senator Faisal insisted that the public and private media should run a full awareness campaign on such incidents and especially on incidents of child abuse and punish the people. He said that it was better to review the existing laws and amend them to tighten the sentences.

Speaker National Assembly Asad Qaiser taking notice of the woman rape case has sought report of the incident from the IG Punjab.

Speaker National Assembly Asad Qaiser in a telephonic conversation with IG Punjab on telephone on Friday, strongly condemned the incident and termed it an extremely barbaric and shameful and directed to take all possible steps to ensure justice to the victim. ""The protection of women is the first priority and responsibility of the government and such brutality cannot be allowed in any civilised society and such incidents are against our social values,"" he said.

He directed for immediate arrest of the accused involved in the incident and said that all possible means should be used to apprehend the accused. Adviser to PM on Interior Shahzad Akbar said the administrative negligence in the Lahore rape case is under investigation.

He said a committee has been formed under Punjab Law Minister Raja Basharat to investigate administrative negligence. He said modern technology is being used to trace the culprits involved in the crime. He said the inquiry committee will make report on basis of facts.

Meanwhile, Chairman Pakistan Ulema Council, President Darul Afta Pakistan Hafiz Muhammad Tahir Mehmood Ashrafi said that DNA test report should be considered as witness in rape cases and court should announce sentence to all rape culprits including Gujjarpura debacle considering DNA test report as witness.

Following a meeting of Darul Afta Pakistan here on Friday, Hafiz Muhammad Tahir Mehmood Ashrafi, President Darul Afta Pakistan issued a decree stating, ""DNA test report should be considered as witness in all rape cases, and culprits accomplice in abusing children and making rape with women should be punished in public.”

He said Constitution of Pakistan is devised in accordance with the teachings of Quran-o-Sunnah; therefore all the courts of the country should announce sentence to culprits proven guilty in rape cases keeping reports of DNA test as witness.

In accordance with the teachings of Quran-o-Sunnah, there are explicit commands to ensure punishment for culprits of rape to be lashed in public. The courts should acknowledge DNA test report as witness and ensure speedy trial of rape cases and for appeal of these cases, judges of High Court and Supreme Court should be assigned who must be authorised to announce verdict in 24 hours.

The culprits of rape and abuse should be punished at the very place, where they had committed the crime. Hafiz Muhammad Tahir Mehmood Ashrafi also announced that Pakistan Ulema Council is going to make a countrywide campaign to punish culprits proven with rape charges should be punished in public.",['Web Desk'],"Federal Secretary Communications Zafar Hassan, IG Motorway Dr Syed Kaleem Imam, IG Punjab Inam Ghani and other senior police and highway police officers participated.
During the conference, IG Motorway Dr Kaleem Imam said the Lahore Police personnel on deputation would be trained by Motorway Police teams.
Furthermore, a delegation of women parliamentarians and civil society members called on IGP Punjab Inam Ghani at the Central Police Office.
The CM Friday contacted the law minister, who is heading the investigation committee probing the Motorway rape case, and got the latest information about the ongoing investigation.
Speaker National Assembly Asad Qaiser taking notice of the woman rape case has sought report of the incident from the IG Punjab.","['geofencing', 'near', 'spot', 'villages', 'case', 'punjab', 'igp', 'committee', 'completed', 'investigation', 'motorway', 'culprits', 'rape', 'ig', 'security', 'crime', 'incident']","{'https://www.thenews.com.pk/assets/front/images/TNS-logo.png?v=1', 'https://www.thenews.com.pk/assets/front/images/700X390_thenews.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756938_110007_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756950_013152_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756942_121550_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756952_014708_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/pause-news.png', 'https://www.thenews.com.pk/assets/front/images/Thenews-logo.svg', 'https://www.thenews.com.pk//assets/front/images/facebook.svg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756935_084724_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/akhbar/2020-09-12/713693_7551524_motorway_akhbar.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756943_124422_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756941_010811_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756937_095203_updates.jpg', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756936_091737_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/whatsapp_dark.png', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756939_124339_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/sms.png', 'https://www.thenews.com.pk/assets/front/images/close_black.png', 'https://www.thenews.com.pk/assets/uploads/akhbar/2020-09-12/l_713693_100420_updates.jpg', 'https://www.thenews.com.pk//assets/front/images/twitter.svg', 'https://www.thenews.com.pk/assets/front/images/drop-down.svg', 'https://www.thenews.com.pk/assets/front/images/mosque-icon.svg', 'https://www.thenews.com.pk//assets/front/images/play-news.png', 'https://www.thenews.com.pk/assets/uploads/updates/2020-12-11/ss_756940_114928_updates.jpg'}",TRUE,https://www.thenews.com.pk/assets/uploads/akhbar/2020-09-12/l_713693_100420_updates.jpg,1,TRUE,en,"defaultdict(<class 'dict'>, {'viewport': 'width=device-width, initial-scale=1', 'TITLE': 'Motorway rape case: Geo-fencing of villages near crime spot completed | Top Story | thenews.com.pk', 'description': 'LAHORE/ISLAMABAD: Lahore Police have completed the geo-fencing of three places and searched villages lying within a five-kilometre radius of the crime scene.Lahore Police have yet to ascertain as to...', 'keywords': 'motorway,rape,case,fencing,villages,crime,spot,completed', 'fb': {'app_id': 650123461797330}, 'og': {'title': 'Motorway rape case: Geo-fencing of villages near crime spot completed', 'image': {'identifier': 'https://www.thenews.com.pk/assets/uploads/akhbar/2020-09-12/l_713693_100420_updates.jpg', 'secure_url': 'https://www.thenews.com.pk/assets/uploads/akhbar/2020-09-12/l_713693_100420_updates.jpg', 'type': 'image/jpeg', 'width': 390}, 'description': 'LAHORE/ISLAMABAD: Lahore Police have completed the geo-fencing of three places and searched villages lying within a five-kilometre radius of the crime scene.Lahore Police have yet to ascertain as to...', 'url': 'https://www.thenews.com.pk/print/713693-motorway-rape-case-geo-fencing-of-villages-near-crime-spot-completed', 'type': 'article'}, 'twitter': {'card': 'summary_large_image', 'site': '@thenews_intl', 'creator': '@WDWeb Desk', 'title': 'Motorway rape case: Geo-fencing of villages near crime spot completed', 'description': 'LAHORE/ISLAMABAD: Lahore Police have completed the geo-fencing of three places and searched villages lying within a five-kilometre radius of the crime scene.Lahore Police have yet to ascertain as to...', 'image': 'https://www.thenews.com.pk/assets/uploads/akhbar/2020-09-12/l_713693_100420_updates.jpg?t=015900'}, 'robots': 'max-image-preview:large', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black-translucent', 'apple-mobile-web-app-title': 'The News International', 'msapplication-TileImage': 'https://www.thenews.com.pk/assets/front/img/tn-icons/144x144.png', 'msapplication-TileColor': '#333333', 'theme-color': '#000000'})",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,news,"September 12, 2020",2020-09-12
