,link,datetime
57,https://www.thenews.com.pk/print/193347-RIS-organises-Womens-Day,"March 20, 2017"
58,https://www.thenews.com.pk/print/711783-property-dispute-how-a-faisalabad-lawyer-kidnapped-killed-by-sukkur-police,"September 8, 2020"
59,https://www.thenews.com.pk/print/162562-Young-man-acquitted-of-forced-marriage-charge,"November 5, 2016"
60,https://www.thenews.com.pk/print/698975-violence-against-women-child-abuse-up-during-apr-jun,"August 11, 2020"
61,https://www.thenews.com.pk/print/360635-indus-waters-talks-indian-delegation-to-reach-today,"August 28, 2018"
62,https://www.thenews.com.pk/print/658769-12-year-old-disabled-girl-raped,"May 15, 2020"
63,https://www.thenews.com.pk/latest/673981-authorities-apprehend-tiger-force-member-for-allegedly-taking-money-from-shop-owners,"June 17, 2020"
64,https://www.thenews.com.pk/print/159760-PHC-acquits-seven-persons-named-in-forced-marriage-case,"October 25, 2016"
65,https://www.thenews.com.pk/print/669981-ulema-support-police-drive-to-end-honour-killings-in-kohistan,"June 9, 2020"
66,https://www.thenews.com.pk/print/627422-jhang-lcwu-campus-shifted-to-new-building,"March 11, 2020"
67,https://www.thenews.com.pk/latest/376588-two-women-among-three-killed-for-honor-in-swabi,"October 4, 2018"
68,https://www.thenews.com.pk/print/718511-asi-suspended-booked-for-raping-girl,"September 22, 2020"
69,https://www.thenews.com.pk/latest/396837-shahbaz-shairf-accuses-nab-of-blackmail,"November 22, 2018"
70,https://www.thenews.com.pk/latest/487336-pakistan-says-it-will-create-gender-based-violence-courts,"June 20, 2019"
71,https://www.thenews.com.pk/print/743010-man-who-illegally-married-minor-girl-arzoo-sent-to-jail,"November 13, 2020"
72,https://www.thenews.com.pk/print/610626-na-passes-resolution-for-public-hanging-of-child-abuse-convicts,"February 8, 2020"
73,https://www.thenews.com.pk/print/683468-trump-s-war,"July 8, 2020"
74,https://www.thenews.com.pk/print/751022-girl-killed-father-injured-in-road-accident,"November 29, 2020"
75,https://www.thenews.com.pk/print/752882-shc-orders-simplifying-sops-for-investigating-rape-assault-cases,"December 3, 2020"
76,https://www.thenews.com.pk/print/719246-sharp-increase-in-rape-cases-across-punjab-in-september,"September 24, 2020"
77,https://www.thenews.com.pk/print/652208-23-cases-of-child-abuse-registered-with-pindi-police,"May 1, 2020"
78,https://www.thenews.com.pk/print/731999-reception-for-police-officials-hosted,"October 20, 2020"
79,https://www.thenews.com.pk/print/723765-two-gang-rape-accused-remanded,"October 3, 2020"
80,https://www.thenews.com.pk/print/724963-karachi-top-cop-orders-action-against-criminal-police-officials,"October 5, 2020"
81,https://www.thenews.com.pk/latest/308156-armeena-khan-says-she-faced-sexual-harassment-at-lahores-anarkali,"April 23, 2018"
82,https://www.thenews.com.pk/print/722448-motorway-gang-rape-case-atc-extends-judicial-remand-of-accused,"September 30, 2020"
83,https://www.thenews.com.pk/archive/print/442604-musharraf%E2%80%99s-adviser-accuses-lawyer-of-blackmail,"July 14, 2013"
84,https://www.thenews.com.pk/print/723181-indian-low-caste-woman-dies-after-gang-rape,"October 2, 2020"
85,https://www.thenews.com.pk/print/714234-kp-police-stations-get-financial-autonomy,"September 13, 2020"
86,https://www.thenews.com.pk/print/748134-fir-lodged-three-days-after-baby-girl-s-abduction,"November 24, 2020"
87,https://www.thenews.com.pk/print/454738-man-held-for-blackmailing-extorting-money-from-traders,"April 7, 2019"
88,https://www.thenews.com.pk/print/688234-crime-of-honour,"July 18, 2020"
89,https://www.thenews.com.pk/print/714065-molestation-on-motorway-culprits-clues-confirmed-evading-arrest-for-now,"September 13, 2020"
90,https://www.thenews.com.pk/print/222842-Naked-honour,"August 11, 2017"
91,https://www.thenews.com.pk/print/714048-protesters-decry-motorway-rape-demand-sacking-of-lahore-ccpo,"September 13, 2020"
92,https://www.thenews.com.pk/latest/739407-fake-faith-healer-booked-for-allegedly-raping-woman-in-karachi,"November 5, 2020"
93,https://www.thenews.com.pk/latest/632400-ariana-grande-files-for-restraining-order-against-fan-allegedly-trespassing,"March 21, 2020"
94,https://www.thenews.com.pk/print/449494-two-girls-honour-killing,"March 27, 2019"
95,https://www.thenews.com.pk/latest/668435-blogger-cynthia-ritchie-levels-rape-allegation-against-senior-ppp-leader,"June 6, 2020"
96,https://www.thenews.com.pk/latest/749658-lodhran-man-allegedly-kills-grandson-in-cold-blood-to-punish-daughter,"November 27, 2020"
97,https://www.thenews.com.pk/print/710712-shc-again-seeks-comments-on-plea-to-abolish-virginity-tests-in-rape-cases,"September 6, 2020"
